timestamp_utc,mts,open,close,high,low,volume
2026-09-07T10:00:00+00:00,1788775200000,0.0002178,0.00026822,0.00026822,0.0002178,14758.16060709
2026-09-07T09:00:00+00:00,1788771600000,0.00022,0.00022768,0.00024658,0.00022,5791.54
2026-09-07T08:00:00+00:00,1788768000000,0.00016,0.00024658,0.000255,0.00016,49228.59795852
2026-09-07T07:00:00+00:00,1788764400000,0.00016,0.000177,0.000177,0.00016,4150.04225432
2026-09-07T06:00:00+00:00,1788760800000,0.000149,0.000177,0.00024658,0.000149,16572.221622
2026-09-07T05:00:00+00:00,1788757200000,0.0002,0.000265,0.000265,0.0002,14602.51604256
2026-09-07T04:00:00+00:00,1788753600000,0.000255,0.00024976,0.00026942,0.00016,8620.49
2026-09-07T03:00:00+00:00,1788750000000,0.00025513,0.00022993,0.00029924,0.00021529,36222.29216233
2026-09-07T02:00:00+00:00,1788746400000,0.00024658,0.00025228,0.00028983,0.00022,39983.16178846
2026-09-07T01:00:00+00:00,1788742800000,0.00022052,0.0002497,0.0002497,0.00010959,7420.82724137
2026-09-07T00:00:00+00:00,1788739200000,0.000255,0.00024658,0.00030898,0.0002222,106722.08099636
2026-09-06T23:00:00+00:00,1788735600000,0.0002106,0.0003079,0.0003086,0.0002106,2671173.01717824
2026-09-06T22:00:00+00:00,1788732000000,0.00020931,0.00028887,0.00028887,0.00016,15249.11653856
2026-09-06T21:00:00+00:00,1788728400000,0.00021076,0.00016,0.00024658,0.00016,4185.53461166
2026-09-06T20:00:00+00:00,1788724800000,0.000175,0.00024658,0.00024658,0.000175,13101.91774156
2026-09-06T19:00:00+00:00,1788721200000,0.0002,0.0002,0.0002,0.0002,5252.44729538
2026-09-06T18:00:00+00:00,1788717600000,0.00021099,0.0002134,0.0002134,0.00021099,662.33
2026-09-06T17:00:00+00:00,1788714000000,0.0002134,0.00024658,0.000302,0.00021212,260562.41367684
2026-09-06T16:00:00+00:00,1788710400000,0.00021193,0.00024658,0.0003,0.0002,786805.02830428
2026-09-06T15:00:00+00:00,1788706800000,0.00022,0.00022,0.00022,0.0002,15545.66898104
2026-09-06T14:00:00+00:00,1788703200000,0.00022,0.00023339,0.00023339,0.00022,9101.84
2026-09-06T13:00:00+00:00,1788699600000,0.00021126,0.00021126,0.00021126,0.00021126,286.67
2026-09-06T12:00:00+00:00,1788696000000,0.0002,0.00022,0.00022,0.0002,8072.07827929
2026-09-06T11:00:00+00:00,1788692400000,0.00021196,0.00021196,0.00021196,0.00021196,168.32
2026-09-06T10:00:00+00:00,1788688800000,0.00020922,0.0002092,0.00022,0.0002092,21265.21
2026-09-06T09:00:00+00:00,1788685200000,0.0002134,0.0002464,0.0002464,0.0002134,2615.0902847400002
2026-09-06T08:00:00+00:00,1788681600000,0.000175,0.00021178,0.00021178,0.000175,500547.18164513
2026-09-06T06:00:00+00:00,1788674400000,0.0002,0.00024658,0.00024658,0.0002,138299.83952717998
2026-09-06T05:00:00+00:00,1788670800000,0.0002,0.0002,0.0002,0.0002,528326.34841433
2026-09-06T02:00:00+00:00,1788660000000,0.00015,0.000265,0.000265,0.00015,3884.98818073
2026-09-06T01:00:00+00:00,1788656400000,0.0002134,0.0003,0.0003,0.0002134,1117545.5446534
